ID,sol,Potencia
secuencia_1843,0.9605910181999207,Alta
secuencia_995,0.9508573412895203,Alta
secuencia_1652,0.9398840665817261,Alta
secuencia_1623,0.9347545504570007,Alta
secuencia_1716,0.9222007989883423,Alta
secuencia_109,0.9214725494384766,Alta
secuencia_822,0.9040642380714417,Alta
secuencia_819,0.8876101970672607,Alta
secuencia_592,0.8831598162651062,Alta
secuencia_537,0.8720341324806213,Alta
secuencia_725,0.8704776167869568,Alta
secuencia_1620,0.8702792525291443,Alta
secuencia_1462,0.8701920509338379,Alta
secuencia_1846,0.869956374168396,Alta
secuencia_1297,0.8693563342094421,Alta
